START_TIME,END_TIME,CATEGORY,ACTIVITY
4/17/2023 06:02,4/17/2023  06:26,ABLUTIONS,WAKE UP AND WASHUP
4/17/2023 06:30,4/17/2023  07:30,HEALTH and FITNESS,YOGA 
4/17/2023  07:35,4/17/2023  07:56,ABLUTIONS,MORNING BATH
4/17/2023  08:04,4/17/2023  08:26,MEALS,BREAKFAST
4/17/2023 08:32,4/17/2023  08:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023  09:00,4/17/2023  11:00,BUSINESS,WORK AND MEETINGS
4/17/2023  11:02,4/17/2023  11:07,MEALS,COFFEE BREAK
4/17/2023 11:08,4/17/2023  11:30,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023 11:32,4/17/2023  13:05,BUSINESS,WORK AND MEETINGS
4/17/2023 13:05,4/17/2023  13:35,MEALS,LUNCH
4/17/2023 13:36,4/17/2023  13:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023 14:02,4/17/2023  15:33,BUSINESS,WORK AND MEETINGS
4/17/2023 15:34,4/17/2023  16:00,MEALS,TEA BREAK
4/17/2023 16:01,4/17/2023  17:40,BUSINESS,WORK AND MEETINGS
4/17/2023 17:40,4/17/2023  18:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/17/2023 18:02,4/17/2023  18:35,HEALTH and FITNESS,EVENING RUN
4/17/2023 18:40,4/17/2023  19:02,ABLUTIONS,EVENING BATH
4/17/2023 19:03,4/17/2023  20:00,BUSINESS,VIRTUAL MEETING
4/17/2023 20:05,4/17/2023  20:35,MEALS,DINNER
4/17/2023 20:45,4/17/2023  22:40,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/18/2023 06:05,4/18/2023 06:25,ABLUTIONS,WAKE UP AND WASHUP
4/18/2023 06:30,4/18/2023 07:29,HEALTH and FITNESS,YOGA 
4/18/2023 07:35,4/18/2023 07:55,ABLUTIONS,MORNING BATH
4/18/2023 08:03,4/18/2023 08:24,MEALS,BREAKFAST
4/18/2023 08:30,4/18/2023 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/18/2023 09:00,4/18/2023 11:02,BUSINESS,WORK AND MEETINGS
4/18/2023 11:03,4/18/2023 11:08,MEALS,COFFEE BREAK
4/18/2023 11:10,4/18/2023 11:30,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/18/2023 11:34,4/18/2023 13:05,BUSINESS,WORK AND MEETINGS
4/18/2023 13:05,4/18/2023 13:28,MEALS,LUNCH
4/18/2023 13:30,4/18/2023 14:05,BUSINESS,MEETING
4/18/2023 14:05,4/18/2023 15:31,BUSINESS,WORK AND MEETINGS
4/18/2023 15:32,4/18/2023 16:00,MEALS,TEA BREAK
4/18/2023 16:00,4/18/2023 17:58,BUSINESS,WORK AND MEETINGS
4/18/2023 18:00,4/18/2023 18:22,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/18/2023 18:30,4/18/2023 19:05,HEALTH and FITNESS,GYM
4/18/2023 19:10,4/18/2023 19:29,ABLUTIONS,EVENING BATH
4/18/2023 19:35,4/18/2023 20:05,MEALS,DINNER
4/18/2023 20:05,4/18/2023 22:15,RELAXATION,RELAXED FAMILY TIME
4/18/2023 22:15,4/18/2023 22:35,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/19/2023 06:01,4/19/2023 06:20,ABLUTIONS,WAKE UP AND WASHUP
4/19/2023 06:27,4/19/2023 07:30,HEALTH and FITNESS,YOGA 
4/19/2023 07:35,4/19/2023 07:55,ABLUTIONS,MORNING BATH
4/19/2023 08:05,4/19/2023 08:24,MEALS,BREAKFAST
4/19/2023 08:30,4/19/2023 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2023 09:00,4/19/2023 11:02,BUSINESS,WORK AND MEETINGS
4/19/2023 11:05,4/19/2023 11:10,MEALS,COFFEE BREAK
4/19/2023 11:10,4/19/2023 11:31,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2023 11:33,4/19/2023 13:05,BUSINESS,WORK AND MEETINGS
4/19/2023 13:05,4/19/2023 13:35,MEALS,LUNCH
4/19/2023 13:35,4/19/2023 14:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/19/2023 14:05,4/19/2023 15:31,BUSINESS,WORK AND MEETINGS
4/19/2023 15:34,4/19/2023 16:00,MEALS,TEA BREAK
4/19/2023 16:01,4/19/2023 17:35,BUSINESS,WORK AND MEETINGS
4/19/2023 17:40,4/19/2023 18:05,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/19/2023 18:10,4/19/2023 18:40,HEALTH and FITNESS,GYM
4/19/2023 18:45,4/19/2023 19:06,ABLUTIONS,EVENING BATH
4/19/2023 19:15,4/19/2023 19:44,MEALS,DINNER
4/19/2023 19:45,4/19/2023 22:00,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/19/2023 22:00,4/19/2023 22:34,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/20/2023 06:01,4/20/2023  06:22,ABLUTIONS,WAKE UP AND WASHUP
4/20/2023 06:30,4/20/2023  07:30,HEALTH and FITNESS,YOGA 
4/20/2023 07:35,4/20/2023  07:54,ABLUTIONS,MORNING BATH
4/20/2023  08:04,4/20/2023  08:29,MEALS,BREAKFAST
4/20/2023  08:30,4/20/2023  08:58,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/20/2023  09:00,4/20/2023  11:02,BUSINESS,WORK AND MEETINGS
4/20/2023  11:03,4/20/2023  11:08,MEALS,COFFEE BREAK
4/20/2023  11:12,4/20/2023  11:31,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/20/2023  11:32,4/20/2023  13:05,BUSINESS,WORK AND MEETINGS
4/20/2023  13:05,4/20/2023  13:33,MEALS,LUNCH
4/20/2023  13:34,4/20/2023  14:00,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/20/2023  14:02,4/20/2023  15:33,BUSINESS,WORK AND MEETINGS
4/20/2023  15:34,4/20/2023  16:00,MEALS,TEA BREAK
4/20/2023  16:01,4/20/2023  18:00,BUSINESS,WORK AND MEETINGS
4/20/2023  18:02,4/20/2023  18:30,HEALTH and FITNESS,EVENING RUN
4/20/2023  18:35,4/20/2023  18:55,ABLUTIONS,EVENING BATH
4/20/2023  19:00,4/20/2023  19:30,BUSINESS,VIRTUAL MEETING
4/20/2023  19:35,4/20/2023  20:15,MEALS,DINNER
4/20/2023  20:30,4/20/2023  22:35,ONLINE INFOTAINMENT,MUSIC CONCERT
4/20/2023  22:45,4/20/2023  23:20,TRAVEL,DRIVING
4/21/2023 06:08,4/21/2023 06:28,ABLUTIONS,WAKE UP AND WASHUP
4/21/2023 06:31,4/21/2023 07:30,HEALTH and FITNESS,YOGA 
4/21/2023 07:35,4/21/2023 07:59,ABLUTIONS,MORNING BATH
4/21/2023 08:11,4/21/2023 08:34,MEALS,BREAKFAST
4/21/2023 08:34,4/21/2023 08:55,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/21/2023 09:00,4/21/2023 11:01,BUSINESS,WORK AND MEETINGS
4/21/2023 11:03,4/21/2023 11:10,MEALS,COFFEE BREAK
4/21/2023 11:10,4/21/2023 11:30,ONLINE INFOTAINMENT,NEWS and SOCIAL NETWORK
4/21/2023 11:31,4/21/2023 12:45,BUSINESS,WORK AND MEETINGS
4/21/2023 13:00,4/21/2023 13:30,MEALS,LUNCH
4/21/2023 13:30,4/21/2023 15:30,BUSINESS,WORK AND MEETINGS
4/21/2023 15:34,4/21/2023 16:00,MEALS,TEA BREAK
4/21/2023 16:01,4/21/2023 17:43,BUSINESS,WORK AND MEETINGS
4/21/2023 17:45,4/21/2023 18:08,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/21/2023 18:15,4/21/2023 18:40,HEALTH and FITNESS,EVENING RUN
4/21/2023 18:45,4/21/2023 19:06,ABLUTIONS,EVENING BATH
4/21/2023 19:15,4/21/2023 19:54,MEALS,DINNER
4/21/2023 20:00,4/21/2023 23:00,ONLINE INFOTAINMENT,WATCH IPL MATCH
4/22/1923  06:01,4/22/1923  06:24,ABLUTIONS,WAKE UP AND WASHUP
4/22/1923   06:30,4/22/1923  08:00,HEALTH and FITNESS,YOGA 
4/22/1923   08:00,4/22/1923  08:34,ABLUTIONS,MORNING BATH
4/22/1923   08:45,4/22/1923  09:00,MEALS,BREAKFAST
4/22/1923  09:00,4/22/1923  11:20,TEACHING,VIRTUAL CLASSROOM
4/22/1923  11:40,4/22/1923  12:30,SHOPPING,GROCERIES AND PRODUCE
4/22/1923  12:30,4/22/1923  12:57,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/22/1923   13:05,4/22/1923  13:33,MEALS,LUNCH
4/22/1923  13:34,4/22/1923  14:34,RELAXATION,NAP
4/22/1923  14:45,4/22/1923  15:11,MEALS,TEA BREAK
4/22/1923   15:14,4/22/1923  16:30,ENTERTAINMENT,FAMILY CONCALL
4/22/1923   16:30,4/22/1923  18:00,HOME MAINTENANCE,CLEANING
4/22/1923  18:03,4/22/1923  18:50,HEALTH and FITNESS,EVENING RUN AND GYM
4/22/1923  18:58,4/22/1923  19:20,ABLUTIONS,EVENING BATH
4/22/1923   19:28,4/22/1923  19:51,MEALS,DINNER
4/22/1923  20:02,4/22/1923  22:35,RELAXATION,BOARDGAME WITH FAMILY
4/22/1923  22:40,4/22/1923  23:05,ONLINE INFOTAINMENT,SOCIAL NETWORK and PERSONAL EMAILS
4/23/1823  06:01,4/23/1823  06:24,ABLUTIONS,WAKE UP AND WASHUP
4/23/1823   06:30,4/23/1823  08:00,HEALTH and FITNESS,YOGA 
4/23/1823   08:00,4/23/1823  08:34,ABLUTIONS,MORNING BATH
4/23/1823   08:45,4/23/1823  10:30,MEALS,BREAKFAST
4/23/1823  10:45,4/23/1823  13:30,HOME MAINTENANCE,CLEANING AND FINANCE BOOK KEEPING
4/23/1823   13:30,4/23/1823  14:00,MEALS,LUNCH
4/23/1823  14:00,4/23/1823  14:45,RELAXATION,NAP
4/23/1823  14:45,4/23/1823  15:11,MEALS,TEA BREAK
4/23/1823  15:45,4/23/1823  16:30,TRAVEL,DRIVING
4/23/1823   16:30,4/23/1823  19:15,ENTERTAINMENT,MOVIE WITH FAMILY
4/23/1823   19:15,4/23/1823  21:15,MEALS,DINNER
4/23/1823  21:30,4/23/1823  22:13,TRAVEL,DRIVING
